,id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,cost,leverage_cost,high,low,pl,bp_support_gap,cs_volume,metadata,cs_gap,,,,,
0,1277,BUY,GPRO,HUMMER,19.18,19.11,19.25,200,714,05/01/2016,11:21:00,70.58824,13694.52,3423.63,-,19.15,P,0.43,515275,"{""closest_support"": 18.75, ""next_closest_support"": 20.94, ""price_change"": {""3-bars"": 0.348, ""5-bars"": 0.4, ""7-bars"": 0.026}, ""pre_candles_volumes"": {""0-bars"": 52754, ""1-bars"": 34232, ""3-bars"": 15330, ""2-bars"": 16089}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",6.78,,,,,
1,1281,BUY,GPRO,HUMMER,18.75,18.71,18.79,200,1250,05/01/2016,14:17:00,132.35294,23437.5,5859.375,-,18.74,P,0,515275,"{""closest_support"": 18.75, ""next_closest_support"": 20.94, ""price_change"": {""3-bars"": 0.005, ""5-bars"": 0.218, ""7-bars"": 0.271}, ""pre_candles_volumes"": {""0-bars"": 11384, ""1-bars"": 16737, ""3-bars"": 21011, ""2-bars"": 9923}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",6.78,,,,,
2,1283,SELL,BABA,SHOOTING-STAR,74.01,74.27,73.75,200.55,192,07/01/2016,10:26:00,54.70297,14209.92,3552.48,74.4,-,L,0.37,225542,"{""closest_support"": 73.64, ""next_closest_support"": 71.03, ""price_change"": {""3-bars"": 0.625, ""5-bars"": 0.831, ""7-bars"": 0.9}, ""pre_candles_volumes"": {""0-bars"": 56181, ""1-bars"": 109895, ""3-bars"": 67811, ""2-bars"": 110519}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.22,,,,,
3,1285,SELL,BABA,SHOOTING-STAR,73.75,73.96,73.54,200.55,238,07/01/2016,12:09:00,54.70297,17552.5,4388.125,73.91,-,P,0.11,225542,"{""closest_support"": 73.64, ""next_closest_support"": 71.03, ""price_change"": {""3-bars"": 0.463, ""5-bars"": 0.408, ""7-bars"": 0.641}, ""pre_candles_volumes"": {""0-bars"": 46398, ""1-bars"": 53990, ""3-bars"": 38101, ""2-bars"": 33906}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.22,,,,,
4,1286,SELL,BABA,SHOOTING-STAR,73.48,73.53,73.43,200.55,1000,07/01/2016,12:44:00,54.70297,73480,18370,73.62,-,L,0.16,225542,"{""closest_support"": 73.64, ""next_closest_support"": 71.03, ""price_change"": {""3-bars"": 0.082, ""5-bars"": 0.136, ""7-bars"": 0.164}, ""pre_candles_volumes"": {""0-bars"": 10527, ""1-bars"": 10150, ""3-bars"": 13690, ""2-bars"": 17827}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.22,,,,,
5,1287,SELL,BABA,SHOOTING-STAR,73.69,73.77,73.61,200.55,625,07/01/2016,12:53:00,54.70297,46056.25,11514.063,73.72,-,P,0.05,225542,"{""closest_support"": 73.64, ""next_closest_support"": 71.03, ""price_change"": {""3-bars"": 0.204, ""5-bars"": 0.122, ""7-bars"": 0.162}, ""pre_candles_volumes"": {""0-bars"": 18965, ""1-bars"": 19424, ""3-bars"": 24924, ""2-bars"": 49195}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.22,,,,,
6,1289,SELL,UAA,OKAR/S,35.84,36.18,35.5,200.28,147,11/01/2016,09:39:00,37.5,5268.48,1317.12,35.88,-,P,0.43,210138,"{""closest_support"": 36.27, ""next_closest_support"": 31.89, ""price_change"": {""3-bars"": 0.07, ""5-bars"": 0.716, ""7-bars"": 0.582}, ""pre_candles_volumes"": {""0-bars"": 181210, ""1-bars"": 164738, ""3-bars"": 256984, ""2-bars"": 214516}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.44,,,,,
7,1290,SELL,UAA,SHOOTING-STAR,34.49,34.62,34.36,200.28,385,11/01/2016,10:17:00,37.5,13278.65,3319.663,34.64,-,L,1.78,210138,"{""closest_support"": 36.27, ""next_closest_support"": 31.89, ""price_change"": {""3-bars"": 0.407, ""5-bars"": 0.349, ""7-bars"": 0.145}, ""pre_candles_volumes"": {""0-bars"": 101876, ""1-bars"": 149404, ""3-bars"": 80552, ""2-bars"": 75742}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.44,,,,,
8,1292,SELL,UAA,SHOOTING-STAR,34.73,34.78,34.68,200.28,1000,11/01/2016,12:00:00,37.5,34730,8682.5,34.78,-,L,1.54,210138,"{""closest_support"": 36.27, ""next_closest_support"": 31.89, ""price_change"": {""3-bars"": 0.13, ""5-bars"": 0.144, ""7-bars"": 0.13}, ""pre_candles_volumes"": {""0-bars"": 27570, ""1-bars"": 16610, ""3-bars"": 68212, ""2-bars"": 21252}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.44,,,,,
9,1313,SELL,SHEL,SHOOTING-STAR,38.2,38.35,38.05,199.69,333,15/01/2016,10:16:00,24.84951,12720.6,3180.15,38.36,-,L,38.2,309414,"{""closest_support"": 0.0, ""next_closest_support"": 0.0, ""price_change"": {""3-bars"": 0.065, ""5-bars"": -0.164, ""7-bars"": -0.266}, ""pre_candles_volumes"": {""0-bars"": 186960, ""1-bars"": 31883, ""3-bars"": 59929, ""2-bars"": 58198}, ""touchdown_takeprofit"": {""0.02-touchdown"": 1, ""0.03-touchdown"": 1}}",5.13,,,,,
